action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-8.659341   0.3956044 -4.4395604 -3.5164835 15.868132  -1.5384616
 28.175825 ]","[-18.614763    3.185097    3.385815   -3.5062153  15.639614   -1.5372891
  27.615637 ]",3.3,99,0,99,0
"[-8.659341    0.30769232 -4.5274725  -3.5164835  15.78022    -1.5384616
 28.263737  ]","[-18.225727    3.0744722   3.398528   -3.5067918  15.644014   -1.5373739
  27.615637 ]",3.3333333,100,0,100,0
"[-8.747252    0.30769232 -4.5274725  -3.5164835  15.78022    -1.5384616
 28.175825  ]","[-17.830063    2.9630928   3.4152591  -3.5071733  15.648083   -1.5374502
  27.615637 ]",3.3666666,101,0,101,0
"[-8.923077    0.30769232 -4.4395604  -3.5164835  15.692307   -1.5384616
 28.175825  ]","[-17.286858    2.8104742   3.4459338  -3.5072327  15.653627   -1.5376028
  27.615637 ]",3.4,102,0,102,0
"[-9.010989    0.30769232 -4.5274725  -3.5164835  15.692307   -1.5384616
 28.175825  ]","[-16.743973    2.6580727   3.484794   -3.5071902  15.660298   -1.5376706
  27.638546 ]",3.4333334,103,0,103,0
"[-9.010989    0.30769232 -4.7032967  -3.4285715  15.692307   -1.5384616
 28.175825  ]","[-16.424166    2.567524    3.5110292  -3.5071733  15.664597   -1.5377045
  27.615637 ]",3.4666667,104,0,104,0
"[-8.923077    0.30769232 -4.7912087  -3.4285715  15.868132   -1.5384616
 28.175825  ]","[-15.971327    2.4380608   3.5519629  -3.5071902  15.670429   -1.5377638
  27.615637 ]",3.5,105,0,105,0
"[-8.835165    0.30769232 -4.967033   -3.4285715  15.868132   -1.4505495
 28.175825  ]","[-15.566492    2.3209774   3.5912309  -3.5072496  15.67499    -1.5378317
  27.615637 ]",3.5333333,106,0,106,0
"[-8.747252    0.21978022 -5.3186812  -3.4285715  16.043957   -1.4505495
 28.175825  ]","[-15.1443405   2.198326    3.6355295  -3.507419   15.679254   -1.537874
  27.615637 ]",3.5666666,107,0,107,0
"[-8.747252    0.13186814 -5.8461537  -3.4285715  16.043957   -1.4505495
 28.263737  ]","[-14.77124     2.0885308   3.6790466  -3.5072496  15.682933   -1.5379418
  27.615637 ]",3.6,108,0,108,0
"[-8.747252    0.13186814 -6.5494504  -3.4285715  16.043957   -1.4505495
 28.263737  ]","[-14.384421    1.9738135   3.7292125  -3.5063848  15.687934   -1.5379164
  27.615637 ]",3.6333334,109,0,109,0
"[-8.747252   -0.04395605 -7.6043954  -3.4285715  16.043957   -1.5384616
 28.175825  ]","[-14.043261    1.8727134   3.7797048  -3.5045116  15.694216   -1.5376112
  27.615637 ]",3.6666667,110,0,110,0
"[-8.835165   -0.48351648 -8.747252   -3.4285715  16.043957   -1.5384616
 28.175825  ]","[-13.689094    1.7665961   3.8419108  -3.5017056  15.703243   -1.5364753
  27.648727 ]",3.7,111,0,111,0
"[-8.835165  -0.5714286 -9.626373  -3.4285715 16.043957  -1.5384616
 28.175825 ]","[-13.454465    1.6947839   3.8920019  -3.4995608  15.710567   -1.5349154
  27.648727 ]",3.7333333,112,0,112,0
"[ -8.835165   -0.5714286 -10.32967    -3.4285715  16.043957   -1.5384616
  28.175825 ]","[-13.129974    1.5945065   3.979811   -3.4966192  15.722877   -1.5321944
  27.615637 ]",3.7666667,113,0,113,0
"[ -9.010989   -0.5714286 -10.857142   -3.4285715  16.043957   -1.5384616
  28.263737 ]","[-12.823894    1.4953507   4.093284   -3.4936438  15.735914   -1.5292612
  27.615637 ]",3.8,114,0,114,0
"[ -9.010989   -0.5714286 -11.120879   -3.4285715  16.043957   -1.5384616
  28.175825 ]","[-12.579026    1.409826    4.2133656  -3.4910245  15.747452   -1.5276846
  27.615637 ]",3.8333333,115,0,115,0
"[ -9.010989   -0.6593407 -11.648352   -3.3406594  16.043957   -1.5384616
  28.175825 ]","[-12.306795    1.307373    4.386312   -3.4878795  15.7618885  -1.5266927
  27.615637 ]",3.8666666,116,0,116,0
"[ -9.186813   -0.6593407 -12.263737   -3.4285715  16.043957   -1.5384616
  28.175825 ]","[-12.108287    1.2288575   4.54163    -3.4853618  15.772875   -1.526201
  27.615637 ]",3.9,117,0,117,0
"[ -9.3626375   -0.74725276 -13.054945    -3.4285715   16.043957
  -1.5384616   28.175825  ]","[-11.866838    1.1276555   4.7689433  -3.4822083  15.78726    -1.5257772
  27.615637 ]",3.9333334,118,0,118,0
"[ -9.3626375   -0.83516484 -14.10989     -3.3406594   16.043957
  -1.5384616   28.175825  ]","[-11.660648    1.0353254   5.000948   -3.4791903  15.800383   -1.5255313
  27.615637 ]",3.9666667,119,0,119,0
"[ -9.3626375  -0.9230769 -15.868132   -3.4285715  16.043957   -1.4505495
  28.263737 ]","[-11.467286    0.9445659   5.253246   -3.475613   15.813259   -1.5254296
  27.615637 ]",4.0,120,0,120,0
"[ -9.3626375  -1.0109891 -17.362637   -3.3406594  15.956044   -1.4505495
  28.175825 ]","[-11.276446     0.84840834   5.5491085   -3.4719934   15.826839
  -1.5254211   27.615637  ]",4.0333333,121,0,121,0
"[ -9.450549   -1.0109891 -18.505495   -3.3406594  16.043957   -1.3626374
  28.263737 ]","[-11.12779     0.7685399   5.819239   -3.4688993  15.838115   -1.5254636
  27.615637 ]",4.0666666,122,0,122,0
"[ -9.626373   -1.0109891 -19.296703   -3.2527473  15.956044   -1.2747253
  28.175825 ]","[-10.96819      0.67505413   6.16813     -3.464915    15.850983
  -1.5254805   27.648727  ]",4.1,123,0,123,0
"[ -9.978022   -1.0109891 -19.648352   -3.2527473  15.956044   -1.2747253
  28.175825 ]","[-10.843703     0.59676975   6.49498     -3.461609    15.861324
  -1.5253787   27.615637  ]",4.133333,124,0,124,0
"[-10.241758   -1.0109891 -20.263737   -3.2527473  15.956044   -1.2747253
  28.263737 ]","[-10.729427    0.5194847   6.853735   -3.4580317  15.870573   -1.5243615
  27.653818 ]",4.1666665,125,0,125,0
"[-10.32967    -1.0109891 -21.054945   -3.2527473  15.868132   -1.2747253
  28.175825 ]","[-10.607973    0.4301936   7.3183765  -3.4529538  15.881153   -1.5212165
  27.625818 ]",4.2,126,0,126,0
